"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","647","login with valid credentials @Regression,@Smoke,@Sanity","chromium","Thu Feb 19 00:46:34 UTC 2026","passed","Thu Feb 19 00:46:35 UTC 2026","Login tests","login.spec.ts","",""
"","492","login with locked out user @Regression,@Smoke","chromium","Thu Feb 19 00:46:35 UTC 2026","passed","Thu Feb 19 00:46:36 UTC 2026","Login tests","login.spec.ts","",""
"","508","login with invalid password @Regression,@Smoke","chromium","Thu Feb 19 00:46:36 UTC 2026","passed","Thu Feb 19 00:46:37 UTC 2026","Login tests","login.spec.ts","",""
"","5514","Verify user can log out successfully @Regression,@Smoke","chromium","Thu Feb 19 00:46:52 UTC 2026","failed","Thu Feb 19 00:46:58 UTC 2026","Logout tests","logout.spec.ts","",""
"","1685","Verify home title and filter dropdown @Regression,@Smoke","chromium","Thu Feb 19 00:46:29 UTC 2026","passed","Thu Feb 19 00:46:31 UTC 2026","Home tests","home.spec.ts","",""
"","446","login with empty credentials @Regression,@Smoke,@Sanity","chromium","Thu Feb 19 00:46:35 UTC 2026","passed","Thu Feb 19 00:46:35 UTC 2026","Login tests","login.spec.ts","",""
"","510","login with invalid email @Regression,@Smoke","chromium","Thu Feb 19 00:46:36 UTC 2026","passed","Thu Feb 19 00:46:36 UTC 2026","Login tests","login.spec.ts","",""
"","1694","login with invalid email and password @Regression,@Smoke","chromium","Thu Feb 19 00:46:37 UTC 2026","passed","Thu Feb 19 00:46:38 UTC 2026","Login tests","login.spec.ts","",""
"","1201","Verify adding item to cart and cart badge update @Regression,@Smoke","chromium","Thu Feb 19 00:46:32 UTC 2026","passed","Thu Feb 19 00:46:33 UTC 2026","Home tests","home.spec.ts","",""
"","647","Verify if all elements on home page are visible @Regression,@Smoke","chromium","Thu Feb 19 00:46:31 UTC 2026","passed","Thu Feb 19 00:46:32 UTC 2026","Home tests","home.spec.ts","",""
"","995","Verifi removing item from cart and cart badge update @Regression,@Smoke","chromium","Thu Feb 19 00:46:33 UTC 2026","passed","Thu Feb 19 00:46:34 UTC 2026","Home tests","home.spec.ts","",""
